b3001,b3002,b3003,b3004,b3005,b3006,b3007,b3008,b3009,b3010,b3011,b3012,b3013,location
-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,58
-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,63
-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,63
-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,63
-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,63
-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,63
-200,-200,-80,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,63
-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,64
-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,76
-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,76
-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,76
-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,76
-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,76
-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,77
-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,77
-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,77
-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,77
-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,77
-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,77
-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,77
-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,77
-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,77
-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,83
-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,83
-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,83
-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,83
-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,83
-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,83
-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,83
-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,83
-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,83
-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,83
-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,84
-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,84
